text,label
The new update made the app so much faster and smoother,positive
Keeps crashing whenever I try to open my profile page,negative
Battery drain is insane after the latest update,negative
I love the new widget feature on the home screen,positive
Why did they remove the dark mode toggle from settings,negative
Face ID login works flawlessly every single time,negative
The app takes up 2GB of storage which is ridiculous,negative
Push notifications are actually useful and not spammy,positive
Cannot upload photos larger than 5MB what year is this,negative
The search feature finally works properly thank you,positive
Ads pop up every 30 seconds making it unusable,negative
Smooth scrolling and fast load times on my old phone,positive
The checkout process has too many unnecessary steps,negative
Customer support through the app chat is surprisingly quick,positive
Keeps asking me to rate the app every time I open it,negative
